tweet_text,time,wait_time
no extended wait departing kingston,2019-06-10 03:05 +0000,0.0
kingston terminal status - 1 hour wait,2019-06-14 00:00 +0000,1.0
no extended wait departing kingston,2019-06-14 02:00 +0000,0.0
kingston terminal status - 1 hour wait,2019-06-14 21:35 +0000,1.0
no extended wait departing kingston,2019-06-15 03:05 +0000,0.0
kingston terminal status - 1 hour wait,2019-06-15 17:25 +0000,1.0
no extended wait departing edmonds or kingston,2019-06-16 04:25 +0000,0.0
kingston terminal status - 1 hour wait,2019-06-16 16:40 +0000,1.0
update - kingston terminal -  2 hour wait. wsp boarding pass required,2019-06-16 19:30 +0000,2.0
kingston terminal status - 1 hour wait,2019-06-20 22:40 +0000,1.0
no extended wait departing kingston,2019-06-21 01:40 +0000,0.0
kingston terminal status - 1 hour wait,2019-06-21 21:30 +0000,1.0
no extended wait departing kingston,2019-06-22 02:30 +0000,0.0
kingston terminal status - 1 hour wait,2019-06-22 19:55 +0000,1.0
no extended wait departing kingston,2019-06-23 04:20 +0000,0.0
kingston terminal status - 1 hour wait,2019-06-23 17:35 +0000,1.0
update - kingston terminal -  2 hour wait. wsp boarding pass required,2019-06-23 19:10 +0000,2.0
no extended wait departing kingston,2019-06-24 04:25 +0000,0.0
kingston terminal status - 1 hour wait,2019-06-24 16:40 +0000,1.0
no extended wait departing kingston,2019-06-24 21:30 +0000,0.0
kingston terminal wait time - one hour. no wsp boarding pass,2016-12-17 20:10 +0000,1.0
update - no extended wait departing kingston,2016-12-17 22:00 +0000,0.0
kingston terminal wait time - one hour. no wsp boarding pass,2016-12-18 23:25 +0000,1.0
update - no extended wait departing kingston,2016-12-19 01:55 +0000,0.0
kingston terminal wait time - one hour. no wsp boarding pass,2016-12-23 23:20 +0000,1.0
kingston terminal - no extended wait,2016-12-24 00:00 +0000,0.0
kingston terminal wait time - 1 hour. no wsp boarding pass,2016-12-24 18:45 +0000,1.0
update - kingston terminal wait time - 2 hours. no wsp boarding pass,2016-12-24 20:15 +0000,2.0
update - kingston terminal - one hour wait  no wsp boarding pass,2016-12-25 00:05 +0000,1.0
kingston terminal - no extended wait,2016-12-25 00:55 +0000,0.0
edm/ki-kingston terminal wait time: 1 hour no wsp tallies,2016-12-25 18:40 +0000,1.0
update - no extended wait departing kingston,2016-12-26 00:40 +0000,0.0
kingston wait time - one hour,2016-12-26 18:35 +0000,1.0
update kingston wait time - two hours,2016-12-26 20:30 +0000,2.0
update - kingston wait time - two hours,2016-12-26 21:10 +0000,2.0
edm/ki-update-kingston terminal wait time: two hours with wsp boarding passes,2016-12-26 21:35 +0000,2.0
update - kingston terminal wait - 2 hours wsp boarding pass required,2016-12-26 22:15 +0000,2.0
update - kingston wait 2 hours - wsp boarding pass required,2016-12-26 23:40 +0000,2.0
update - no extended wait departing kingston,2016-12-27 01:05 +0000,0.0
kingston wait time - one hour,2016-12-27 19:35 +0000,1.0
update - no extended wait departing kingston,2016-12-28 01:25 +0000,0.0
kingston terminal wait time - one hour. no wsp boarding pass,2016-12-28 19:35 +0000,1.0
update - no extended wait departing kingston,2016-12-28 22:55 +0000,0.0
kingston wait time - one hour -  no wsp boarding pass required,2017-12-02 23:25 +0000,1.0
update - no extended wait departing kingston,2017-12-03 03:05 +0000,0.0
kingston wait time - one hour -  no wsp boarding pass required,2017-12-09 18:35 +0000,1.0
update - no extended wait departing kingston,2017-12-09 23:35 +0000,0.0
kingston wait time - one hour -  no wsp boarding pass required,2017-12-11 01:10 +0000,1.0
update - no extended wait departing kingston,2017-12-11 03:55 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding passes required,2017-12-17 23:25 +0000,1.0
update - no extended wait departing kingston,2017-12-18 01:50 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding passes required,2017-12-19 00:25 +0000,1.0
update - no extended wait departing kingston,2017-12-19 01:35 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding passes required,2017-12-19 20:00 +0000,1.0
update - no extended wait departing kingston,2017-12-19 21:55 +0000,0.0
ed/ki - kingston terminal - one hour wait,2017-12-21 16:20 +0000,1.0
ed/ki - kingston terminal - two hour wait,2017-12-21 16:55 +0000,2.0
ed/ki - kingston terminal - one hour wait - update,2017-12-21 18:25 +0000,1.0
ed/ki - kingston terminal - no extended wait,2017-12-21 20:00 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding passes required,2017-12-22 22:00 +0000,1.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2017-12-22 22:05 +0000,1.0
update - no extended wait departing kingston,2017-12-23 02:00 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2017-12-23 18:55 +0000,1.0
kingston terminal - 2 hour wait -  no wsp boarding pass required,2017-12-23 21:30 +0000,2.0
update - no extended wait departing kingston,2017-12-24 03:00 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2017-12-24 18:45 +0000,1.0
update - no extended wait departing kingston,2017-12-25 00:30 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2017-12-25 20:55 +0000,1.0
update - no extended wait in kingston,2017-12-26 01:55 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2017-12-26 19:20 +0000,1.0
update - kingston terminal wait time - one hour,2017-12-27 02:00 +0000,1.0
update - no extended wait departing kingston,2017-12-27 03:05 +0000,0.0
kingston terminal - one hour wait,2017-12-27 18:40 +0000,1.0
kingston terminal wait time - one hour,2017-12-27 21:05 +0000,1.0
update - kingston terminal wait time - one hour,2017-12-27 23:20 +0000,1.0
update - kingston terminal wait time - two hours,2017-12-28 00:20 +0000,2.0
update - no extended wait departing kingston,2017-12-28 03:25 +0000,0.0
