tweet_text,time,wait_time
edm/king  - edmonds terminal - one hour wait,2017-12-02 01:00 +0000,1.0
update - no wait in edmonds,2017-12-02 02:55 +0000,0.0
wait time in edmonds - 1 hour,2017-12-08 23:40 +0000,1.0
update - no wait in edmonds,2017-12-09 02:55 +0000,0.0
edmonds terminal wait time - one hour,2017-12-16 00:15 +0000,1.0
update - no extended wait departing edmonds,2017-12-16 03:35 +0000,0.0
edmonds terminal wait time - one hour,2017-12-18 23:40 +0000,1.0
update - no extended wait departing edmonds,2017-12-19 04:40 +0000,0.0
edmonds terminal wait time - one hour,2017-12-19 23:45 +0000,1.0
ed/kg - update - no extended wait departing edmonds,2017-12-20 04:55 +0000,0.0
update - no extended wait departing edmonds,2017-12-20 05:00 +0000,0.0
edmonds terminal wait time - one hour,2017-12-20 21:25 +0000,1.0
update - no extended wait departing edmonds,2017-12-21 04:05 +0000,0.0
edmonds terminal wait time - one hour,2017-12-22 00:05 +0000,1.0
update - no extended wait departing edmonds,2017-12-22 04:05 +0000,0.0
edmonds terminal wait time - one hour,2017-12-22 22:15 +0000,1.0
update - no extended wait departing edmonds,2017-12-23 03:10 +0000,0.0
one hour wait in edmonds,2017-12-23 18:50 +0000,1.0
update - two hour wait in edmonds,2017-12-23 20:35 +0000,2.0
update - one hour wait in edmonds,2017-12-24 00:20 +0000,1.0
update - no extended wait departing edmonds,2017-12-24 03:00 +0000,0.0
one hour wait in edmonds,2017-12-24 22:35 +0000,1.0
update - no extended wait departing edmonds,2017-12-25 00:25 +0000,0.0
one hour wait in edmonds,2017-12-26 20:00 +0000,1.0
update - edmonds terminal wait time - two hours,2017-12-26 23:20 +0000,2.0
update - no extended wait departing edmonds,2017-12-27 02:55 +0000,0.0
edmonds terminal wait time - one hour,2017-12-27 23:45 +0000,1.0
update - no extended wait departing edmonds,2017-12-28 03:25 +0000,0.0
edmonds terminal wait time - one hour,2017-12-28 23:50 +0000,1.0
update - no extended wait departing edmonds,2017-12-29 04:20 +0000,0.0
edmonds terminal wait time - one hour,2017-12-30 00:10 +0000,1.0
update - no extended wait in edmonds,2017-12-30 03:05 +0000,0.0
update - edmonds terminal wait time - 90 minutes,2017-04-01 00:15 +0000,1.5
update - no extended wait departing edmonds,2017-04-01 03:00 +0000,0.0
ed/ki- edmonds terminal wait time - one hour,2017-04-01 19:25 +0000,1.0
update - no extended wait departing edmonds,2017-04-01 21:55 +0000,0.0
edmonds terminal wait time - one hour,2017-04-07 22:45 +0000,1.0
update - no extended wait departing edmonds,2017-04-08 02:50 +0000,0.0
edmonds terminal wait time - one hour,2017-04-14 21:25 +0000,1.0
edmonds terminal wait time - one hour,2017-04-15 19:20 +0000,1.0
update - no extended wait departing edmonds,2017-04-16 01:15 +0000,0.0
edmonds terminal wait time - one hour,2017-04-21 21:05 +0000,1.0
update - edmonds terminal wait time - two hours,2017-04-21 23:00 +0000,2.0
update - edmonds terminal wait time - one hour,2017-04-22 01:05 +0000,1.0
update - no extended wait departing edmonds,2017-04-22 04:25 +0000,0.0
edmonds terminal wait time - one hour,2017-04-28 22:00 +0000,1.0
update - edmonds terminal wait time - two hours,2017-04-29 01:25 +0000,2.0
edm/ki- edmonds terminal wait time--1 hour.,2017-04-29 17:40 +0000,1.0
update - no extended wait departing edmonds,2017-04-29 23:20 +0000,0.0
edmonds terminal wait time - one hour,2017-10-06 21:05 +0000,1.0
update - edmonds terminal wait time - two hours,2017-10-06 23:20 +0000,2.0
update - edmonds terminal wait time - one hour,2017-10-07 02:25 +0000,1.0
